country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Goa,30,369568,146466,116826,4030,7,5,11,14,39,30,55,70,62,5,112,35,19,24,12,81,60,50,42,59,28,24,78
India,Goa,50,369568,87149,55155,4030,6,3,5,10,26,19,46,55,51,2,95,27,9,15,9,42,28,26,18,23,12,8,23
India,Goa,75,369568,26048,17751,4030,4,1,2,5,9,7,17,21,20,0,29,10,2,4,4,9,10,10,7,3,2,1,4
India,Gujarat,0,18572011,18572011,18572011,41730,14,6,6,9,9,8,10,21,13,8,12,41,75,31,0,0,0,8,11,4,30,3,2132
India,Gujarat,10,18572011,168453,59158,41730,12,3,3,5,6,5,8,19,10,5,10,21,18,10,0,0,0,1,1,0,2,0,39
India,Gujarat,15,18572011,82478,26229,41730,11,3,3,5,6,5,8,19,9,5,10,18,13,9,0,0,0,1,1,0,1,0,16
India,Gujarat,20,18572011,69116,18857,41730,11,3,3,5,6,5,8,19,9,5,9,17,10,8,0,0,0,0,0,0,1,0,13
India,Gujarat,25,18572011,37329,12197,41730,10,3,2,5,5,4,7,19,9,4,9,15,7,7,0,0,0,0,0,0,0,0,4
India,Gujarat,30,18572011,17927,7023,41730,10,2,2,4,5,4,7,19,8,4,9,15,4,6,0,0,0,0,0,0,0,0,2
India,Gujarat,50,18572011,969,60,41730,7,1,1,3,2,2,4,13,5,2,5,6,0,1,0,0,0,0,0,0,0,0,0
India,Gujarat,75,18572011,91,2,41730,1,0,0,1,0,0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
